PROVRES;SEXO;CAUSA;MAT;GRUPEDAD;CUENTA
10;1;B20;NULL;06_25 a 29;1
14;2;E85;NULL;13_60 a 64;1
14;2;G93;NULL;14_65 a 69;1
50;1;I61;NULL;13_60 a 64;13
86;1;N18;NULL;08_35 a 39;1
14;2;P77;NULL;01_Menor de 1 año;6
14;1;L08;NULL;16_75 a 79;4
06;1;J43;NULL;14_65 a 69;19
06;2;J45;NULL;14_65 a 69;7
06;1;C76;NULL;07_30 a 34;2
98;1;I33;NULL;12_55 a 59;1
70;2;C50;NULL;13_60 a 64;7
22;1;N17;NULL;17_80 y más;10
26;2;K92;NULL;15_70 a 74;4
34;2;E07;NULL;17_80 y más;1
34;1;C13;NULL;16_75 a 79;1
14;1;J45;NULL;15_70 a 74;1
34;1;J96;NULL;15_70 a 74;1
50;2;V89;NULL;07_30 a 34;1
06;1;M84;NULL;17_80 y más;2
02;2;I72;NULL;14_65 a 69;1
50;2;D35;NULL;10_45 a 49;1
70;2;I21;NULL;10_45 a 49;1
66;2;K46;NULL;17_80 y más;1
78;2;K35;NULL;09_40 a 44;1
82;2;C02;NULL;12_55 a 59;1
06;1;B37;NULL;16_75 a 79;1
50;1;C91;NULL;17_80 y más;3
18;1;C18;NULL;12_55 a 59;6
34;1;K70;NULL;09_40 a 44;1
66;2;X70;NULL;07_30 a 34;6
34;2;J18;NULL;08_35 a 39;8
46;1;C95;NULL;17_80 y más;2
66;2;K83;NULL;10_45 a 49;1
94;1;X70;NULL;07_30 a 34;3
02;2;A41;NULL;14_65 a 69;42
06;2;D61;NULL;05_20 a 24;1
34;2;R99;NULL;14_65 a 69;5
46;1;I25;NULL;15_70 a 74;1
62;1;V43;NULL;09_40 a 44;1
66;1;L97;NULL;17_80 y más;1
14;1;I38;NULL;15_70 a 74;6
46;2;I64;NULL;16_75 a 79;5
50;1;I21;NULL;17_80 y más;204
50;2;J46;NULL;15_70 a 74;1
66;1;U07;NULL;06_25 a 29;6
82;1;W17;NULL;16_75 a 79;1
38;1;P21;NULL;01_Menor de 1 año;2
14;1;I63;NULL;08_35 a 39;1
30;1;R96;NULL;16_75 a 79;5
06;2;I61;NULL;11_50 a 54;39
66;2;J44;NULL;17_80 y más;30
06;1;D68;NULL;06_25 a 29;1
02;2;C96;NULL;07_30 a 34;1
50;1;I67;NULL;16_75 a 79;16
82;1;J81;NULL;16_75 a 79;6
54;2;C53;NULL;12_55 a 59;13
82;2;J40;NULL;17_80 y más;3
90;2;N19;NULL;12_55 a 59;2
14;2;C71;NULL;07_30 a 34;2
70;1;I25;NULL;16_75 a 79;17
82;2;F03;NULL;14_65 a 69;3
82;1;V43;NULL;17_80 y más;1
06;1;L08;NULL;07_30 a 34;4
02;1;B23;NULL;15_70 a 74;1
42;1;J98;NULL;14_65 a 69;1
50;1;I21;NULL;15_70 a 74;80
58;1;K51;NULL;15_70 a 74;1
06;1;J44;NULL;99_Sin especificar;5
30;2;C18;NULL;10_45 a 49;4
70;2;R57;NULL;17_80 y más;3
82;2;R02;NULL;14_65 a 69;1
82;2;G03;NULL;14_65 a 69;2
30;1;D65;NULL;02_1 a 9;1
86;2;N19;NULL;15_70 a 74;6
90;1;X74;NULL;10_45 a 49;2
62;2;E88;NULL;17_80 y más;1
66;2;I11;NULL;11_50 a 54;1
66;2;X70;NULL;09_40 a 44;3
02;1;I42;NULL;15_70 a 74;139
18;2;N82;NULL;17_80 y más;1
34;2;C15;NULL;12_55 a 59;1
54;2;C22;NULL;13_60 a 64;1
06;2;A49;NULL;14_65 a 69;5
26;1;I21;NULL;12_55 a 59;11
14;1;I38;NULL;17_80 y más;3
42;2;R10;NULL;14_65 a 69;1
66;2;C40;NULL;12_55 a 59;1
74;1;Q05;NULL;05_20 a 24;1
30;1;N18;NULL;16_75 a 79;6
42;2;K92;NULL;04_15 a 19;1
74;2;J18;NULL;09_40 a 44;1
06;1;Q43;NULL;01_Menor de 1 año;2
34;2;I51;NULL;15_70 a 74;1
62;2;J12;NULL;14_65 a 69;1
90;2;C53;NULL;17_80 y más;1
70;2;D64;NULL;15_70 a 74;2
30;1;R99;NULL;10_45 a 49;19
06;1;X09;NULL;02_1 a 9;1
14;1;I27;NULL;14_65 a 69;1
38;1;E11;NULL;17_80 y más;3
26;2;I64;NULL;10_45 a 49;2
14;1;V24;NULL;10_45 a 49;1
54;2;C50;NULL;05_20 a 24;1
70;2;D64;NULL;13_60 a 64;1
70;1;R64;NULL;13_60 a 64;1
50;2;J81;NULL;10_45 a 49;1
58;1;C23;NULL;15_70 a 74;1
78;1;C18;NULL;09_40 a 44;3
30;1;I62;NULL;15_70 a 74;2
50;2;B17;NULL;15_70 a 74;1
82;1;X02;NULL;14_65 a 69;1
06;2;C21;NULL;14_65 a 69;4
10;2;X70;NULL;04_15 a 19;3
62;2;P02;NULL;01_Menor de 1 año;1
06;2;I33;NULL;07_30 a 34;1
10;2;E88;NULL;17_80 y más;2
14;1;L98;NULL;13_60 a 64;1
18;2;C22;NULL;16_75 a 79;2
06;2;K42;NULL;17_80 y más;1
62;1;I50;NULL;17_80 y más;53
74;1;I10;NULL;13_60 a 64;1
78;2;N17;NULL;16_75 a 79;4
54;2;N18;NULL;12_55 a 59;8
82;1;V48;NULL;03_10 a 14;1
34;2;I10;NULL;14_65 a 69;1
54;1;V49;NULL;08_35 a 39;1
62;1;C62;NULL;10_45 a 49;1
18;2;C64;NULL;13_60 a 64;4
50;1;W17;NULL;17_80 y más;1
46;1;R10;NULL;12_55 a 59;1
82;1;D41;NULL;14_65 a 69;3
90;2;J94;NULL;17_80 y más;1
90;2;C80;NULL;09_40 a 44;1
26;2;C56;NULL;11_50 a 54;2
50;1;Y24;NULL;17_80 y más;2
06;1;C48;NULL;13_60 a 64;4
14;1;I25;NULL;10_45 a 49;6
18;1;C73;NULL;13_60 a 64;2
54;1;C20;NULL;08_35 a 39;1
62;1;K83;NULL;15_70 a 74;2
90;2;B20;NULL;10_45 a 49;2
